recipient_name,cleaned_names
GAYLORD NATIONAL,GAYLORD NATIONAL
NATIONAL DEMOCRATIC CLUB,NATIONAL DEMOCRATIC CLUB
PROSPECT DINING LLC,PROSPECT DINING LLC
CAPITOL HILL CLUB,CAPITOL HILL CLUB
CONGRESSIONAL LIQUORS,CONGRESSIONAL LIQUORS
TRATTORIA ALBERTO,TRATTORIA ALBERTO
SONOMA,SONOMA
MORTONS,MORTONS
MATCHBOX,MATCHBOX
RAMPARTS,RAMPARTS
TED'S BULLETIN,TED'S BULLETIN
GRANVILLE MOORE'S,GRANVILLE MOORE'S
BULLFEATHERS RESTAURANT,BULLFEATHERS RESTAURANT
BA BAY,BA BAY
POLITICAL DEVELOPMENT GROUP,POLITICAL DEVELOPMENT GROUP
CAPITOL CAFE,CAPITOL CAFE
HAMMOND & ASSOCIATES,HAMMOND & ASSOCIATES
JOHNNYS HALF SHELL,JOHNNYS HALF SHELL
COSTCO,COSTCO
CENTRAL MICHEL RICHARD,CENTRAL MICHEL RICHARD
ROSA MEXICANO,ROSA MEXICANO
CITRONELLE RESTAURANT,CITRONELLE RESTAURANT
RISTORANTE LAPERLA,RISTORANTE LAPERLA
HARRIS TEETER,HARRIS TEETER
TOP OF THE HILL,TOP OF THE HILL
PMI 1140CONNECTICUTA,PMI 1140CONNECTICUTA
BARMY WINE & LIQUORS,BARMY WINE & LIQUORS
LUIGI'S,LUIGI'S
JAMES HOBAN'S 884300,JAMES HOBAN'S 884300
CHIPOTLE 0102 542929,CHIPOTLE 0102 542929
MORTON'S OF CONNECTI,MORTON'S OF CONNECTI
DELTA AIR LINES,DELTA AIR LINES
BWI RAMS HEAD 140132,BWI RAMS HEAD 140132
PMI BWI DAILY A GARA,PMI BWI DAILY A GARA
THE OVAL ROOM,THE OVAL ROOM
"1800 MASS AVE, NW #4","1800 MASS AVE, NW #4"
PHILLIPS SEAFO318525,PHILLIPS SEAFO318525
THE PALM RESTAURANT,THE PALM RESTAURANT
1724 L ST AUBONPAIN,1724 L ST AUBONPAIN
VAPIANO 882901909720,VAPIANO 882901909720
BAR DUPONT 440000022,BAR DUPONT 440000022
DONOVAN HOUSE 020040,DONOVAN HOUSE 020040
CASA NONNA CASA NONN,CASA NONNA CASA NONN
SHEETZ CONVENIENCE STORE,SHEETZ CONVENIENCE STORE
PMI 1741 L ST.,PMI 1741 L ST.
KING CAB COMPANY 542,KING CAB COMPANY 542
SINGH TRANSPORTATION,SINGH TRANSPORTATION
BUSBOYS,BUSBOYS
CVS 1347 01347,CVS 1347 01347
REGENT THAI 65000000,REGENT THAI 65000000
RFD 417000010642001,RFD 417000010642001
TRAVEL INSURANCE POL,TRAVEL INSURANCE POL
FIVE GUYS-REAGAN N 5,FIVE GUYS-REAGAN N 5
PARADIES #391,PARADIES #391
1333 H STREET #105 6,1333 H STREET #105 6
NOOSHI 0056,NOOSHI 0056
VINOTECA 30000010171,VINOTECA 30000010171
CARIBOU COFFEE#832 0,CARIBOU COFFEE#832 0
TAFESSE ASFAW 882902,TAFESSE ASFAW 882902
SHELL OIL 5451938003,SHELL OIL 5451938003
VOCELLI PIZZA #115 8,VOCELLI PIZZA #115 8
MCDONALD'S F11380 00,MCDONALD'S F11380 00
0161 SHEETZ 0161,0161 SHEETZ 0161
0184 SHEETZ 0184,0184 SHEETZ 0184
0205 SHEETZ 0205,0205 SHEETZ 0205
COMFORT INN & SUITES,COMFORT INN & SUITES
MCDONALD'S M5712 OF,MCDONALD'S M5712 OF
MARATHON PETROLEUM C,MARATHON PETROLEUM C
EXXONMOBIL,EXXONMOBIL
KANGAROO EXPRESS 371,KANGAROO EXPRESS 371
NATIONAL CAR RENTAL,NATIONAL CAR RENTAL
